,raw_comment,cleaned,emotion,score,emoji
609,"Loved the content, keep it coming!",loved the content keep it coming,love,0.933,❤️
610,"This was exactly what I needed, thanks!",this was exactly what i needed thanks,gratitude,0.981,
611,"You explained this so well, thank you!",you explained this so well thank you,gratitude,0.986,
612,CONRAAAAAAAD,conraaaaaaad,neutral,0.946,
613,"You explained this so well, thank you!",you explained this so well thank you,gratitude,0.986,
614,"Great tips, thanks for sharing!",great tips thanks for sharing,gratitude,0.99,
615,"Loved the content, keep it coming!",loved the content keep it coming,love,0.933,❤️
616,Really appreciate the insights in this video.,really appreciate the insights in this video,admiration,0.914,
617,The transition from DAYLIGHT TO RED😭😭,the transition from daylight to red,neutral,0.929,
618,Amazing content as always!,amazing content as always,admiration,0.874,
619,Team jelly for the win🎉🎉🎉😊like if u agree &lt;3,team jelly for the winlike if u agree lt3,neutral,0.911,
620,"You explained this so well, thank you!",you explained this so well thank you,gratitude,0.986,
621,CONRADDDD,conradddd,neutral,0.968,
622,💃🏻 GET JEREMIAH OUT OF HERE 💃🏻<br>✨YASSSSSS CONRAD✨,get jeremiah out of here bryassssss conrad,neutral,0.911,
623,J and B are end game and I don’t care😭😭😭,j and b are end game and i dont care,neutral,0.568,
624,Conrad&#39;s Hey was enough to compete and win again jere HAHAHHHA,conrad39s hey was enough to compete and win again jere hahahhha,amusement,0.839,
625,DAYLIGHT TO RED?!? OMG,daylight to red omg,surprise,0.384,😲
626,"Great tips, thanks for sharing!",great tips thanks for sharing,gratitude,0.99,
627,I am team Jeremiah and Conrad! (But mainly Jeremiah) ❤,i am team jeremiah and conrad but mainly jeremiah,neutral,0.947,
628,"This was exactly what I needed, thanks!",this was exactly what i needed thanks,gratitude,0.981,
629,"Loved the content, keep it coming!",loved the content keep it coming,love,0.933,❤️
630,"You explained this so well, thank you!",you explained this so well thank you,gratitude,0.986,
631,IM SO READY FOR JEREMIAHS AND BELLYS RELATIONSHIP DOWNFALLLLLL!!! TEAM CONNIE FOREVERRRR,im so ready for jeremiahs and bellys relationship downfallllll team connie foreverrrr,excitement,0.362,
632,brother eughhhh why jermiah,brother eughhhh why jermiah,neutral,0.931,
633,Team Conrad here,team conrad here,neutral,0.967,
634,Team jellyyy is just...💝✨,team jellyyy is just,neutral,0.961,
635,I can’t wait for this!!,i cant wait for this,excitement,0.472,
636,"So many amazing songs in one place, where do I even start?",so many amazing songs in one place where do i even start,admiration,0.855,
637,This summer is actually gonna be my most favourite summer ever!!,this summer is actually gonna be my most favourite summer ever,love,0.449,❤️
638,OMGMGMGMGGGG,omgmgmgmgggg,surprise,0.648,😲
639,🥹🥹🥹🥹💛,,empty,0.0,
640,"When I finished the second season, I couldn&#39;t wait for so long to know what happened next. Bought the third part of the book then and there, made peace with my curiosity. But this trailer wants me to read the book again and also binge watch season 3",when i finished the second season i couldn39t wait for so long to know what happened next bought the third part of the book then and there made peace with my curiosity but this trailer wants me to read the book again and also binge watch season 3,curiosity,0.634,
641,Jeremiah got daylight and Conrad got red…,jeremiah got daylight and conrad got red,neutral,0.965,
642,who&#39;s on both team omg,who39s on both team omg,surprise,0.483,😲
643,NO GO AWAY CONRD,no go away conrd,neutral,0.956,
644,Oh helll nhaa,oh helll nhaa,neutral,0.757,
645,TEAM JELLYYYY🥹🫶🏼🩷<br>Edit- I just read the comments😭😭 noooooo pls I don’t think I’ll watch it now I don’t want her to hurt jere or end up with conrad😭😭,team jellyyyybredit i just read the comments noooooo pls i dont think ill watch it now i dont want her to hurt jere or end up with conrad,disapproval,0.439,
646,Ya que salgaaaaa 😭😭😭😭😭😭😭💗,ya que salgaaaaa,neutral,0.957,
647,Is season 3 out already?,is season 3 out already,neutral,0.72,
648,the amount of times i’ve rewatched this just for conrad’s hey to belly is insane,the amount of times ive rewatched this just for conrads hey to belly is insane,neutral,0.356,
649,Mori,mori,neutral,0.962,
650,Don&#39;t upset Jeremiah please,don39t upset jeremiah please,neutral,0.402,
651,👎👎👎👎👎,,empty,0.0,
652,Cringed the whole time until Conrad showed up😍😍😍,cringed the whole time until conrad showed up,neutral,0.694,
653,All we got from Conrad is “Hey” but it outshined all of the other scenes😩😩❤❤❤❤,all we got from conrad is hey but it outshined all of the other scenes,neutral,0.819,
654,😭😭😭😭,,empty,0.0,
655,i’m sobbing,im sobbing,sadness,0.898,😢
656,The &quot;hey&quot; is better than all 40 seconds,the quotheyquot is better than all 40 seconds,neutral,0.557,
657,Bonradddd❤😊,bonradddd,neutral,0.97,
658,Please don&#39;t ruin this season,please don39t ruin this season,caring,0.437,
659,no no no no no no team conrad,no no no no no no team conrad,neutral,0.836,
660,MY BONRAD ❤,my bonrad,neutral,0.966,
661,Name kiii???,name kiii,neutral,0.967,
662,His &quot; hey&quot; 😭,his quot heyquot,neutral,0.967,
663,No doubt that belly is the only problem in the show.,no doubt that belly is the only problem in the show,neutral,0.557,
664,Team Jeremahia ALL THE WAY BRO,team jeremahia all the way bro,neutral,0.944,
665,"This was very informative, appreciate it.",this was very informative appreciate it,admiration,0.92,
666,If conrad came to My door I would shut the door,if conrad came to my door i would shut the door,neutral,0.925,
667,"Oh come on, Conrad is so toxic, coward and doesn’t know what he wants , I would def choose Jeremiah over Conrad in every universe",oh come on conrad is so toxic coward and doesnt know what he wants  i would def choose jeremiah over conrad in every universe,neutral,0.751,
668,THE ONES WHO HAVE READ THE BOOKS KNOW WHATS COMING HEHEHEHE,the ones who have read the books know whats coming hehehehe,amusement,0.805,
669,just one hey ended all the debates 😍😍,just one hey ended all the debates,neutral,0.755,
670,"I can&#39;t believe that my favorite series is ending, I want it to come out, they are so cute I&#39;m crying  ❤",i can39t believe that my favorite series is ending i want it to come out they are so cute i39m crying,sadness,0.354,😢
671,Ahhhhh!!!! That&#39;s transition from daylight to red🤌🏻✨😭,ahhhhh that39s transition from daylight to red,neutral,0.841,
672,TEAM CONDRAD TIL I DIE✊🏼✊🏼✊🏼✊🏼✊🏼,team condrad til i die,neutral,0.96,
673,"Great job, this video was very useful!",great job this video was very useful,admiration,0.95,
674,TEAM JEREMIAH,team jeremiah,neutral,0.956,
675,"Very well done, appreciate this video!",very well done appreciate this video,admiration,0.942,
676,lola looks beautiful as always !,lola looks beautiful as always,admiration,0.95,
677,THE SHITSHOW IS BACK YALL,the shitshow is back yall,annoyance,0.334,
678,That hey changes everything,that hey changes everything,neutral,0.729,
679,"I think I watched it maybe 10 or 11 times in the past 15 minutes.😢 <a href=""https://www.youtube.com/watch?v=yr7NbcCPYjk&amp;t=65"">1:05</a>",i think i watched it maybe 10 or 11 times in the past 15 minutes a href,neutral,0.65,
680,TEAM JELLY🪼,team jelly,neutral,0.967,
681,ONG CAN&#39;T WAIITTTT!!!!,ong can39t waiitttt,neutral,0.966,
682,ISTG IF BELLY ENDS UP WITH CONRAD IMA CRYY. BUT SO EXCITEDD,istg if belly ends up with conrad ima cryy but so excitedd,excitement,0.712,
683,Finally &#39;hey&#39; ❤,finally 39hey39,neutral,0.961,
684,Team Jeremiah,team jeremiah,neutral,0.956,
685,That girl does not know what she wants 😅,that girl does not know what she wants,neutral,0.844,
686,Thank you for the great content!,thank you for the great content,gratitude,0.987,
687,Song name please?,song name please,neutral,0.944,
688,"I&#39;m telling you, if she end&#39;s up with Conrad, I will stop watching. I&#39;m not kidding 🥲",i39m telling you if she end39s up with conrad i will stop watching i39m not kidding,neutral,0.913,
689,Team CONRAD forever.,team conrad forever,neutral,0.966,
690,IM SORRY BUT THE TRANSITION FROM DAYLIGHT TO RED DID SOMETHING TO ME,im sorry but the transition from daylight to red did something to me,remorse,0.766,
691,HEY WAS BETTER THAN EVEYRHTING ELSE,hey was better than eveyrhting else,approval,0.428,
692,conraaaaddddd😭😭😭💜💕💜💜💕💕💞,conraaaaddddd,neutral,0.955,
693,"&quot;moving on from him is impossible, when i still see it all in my head&quot; okay jennie i see you. bellyconrad end game otherwise i will CRASH OUT",quotmoving on from him is impossible when i still see it all in my headquot okay jennie i see you bellyconrad end game otherwise i will crash out,neutral,0.875,
694,"In &quot;The Summer I Turned Pretty&quot; series, both the books and the show, Belly ultimately ends up with Conrad Fisher. The story culminates with them marrying and starting a new life together. Belly and Jeremiah, who she dates in the third book, are not the final couple.",in quotthe summer i turned prettyquot series both the books and the show belly ultimately ends up with conrad fisher the story culminates with them marrying and starting a new life together belly and jeremiah who she dates in the third book are not the final couple,neutral,0.919,
695,Don’t leave Jeremiah for Conrad again 🙏 please please that would be a bad move 😅,dont leave jeremiah for conrad again  please please that would be a bad move,disapproval,0.656,
696,"Your videos are always so helpful, thank you!",your videos are always so helpful thank you,gratitude,0.988,
697,"This was exactly what I needed, thanks!",this was exactly what i needed thanks,gratitude,0.981,
698,Jeremiah is perfect ❤ so sweet and kind. I love how he turns everything lighter. He genuinely loves Belly,jeremiah is perfect  so sweet and kind i love how he turns everything lighter he genuinely loves belly,love,0.853,❤️
699,I don’t know why but I feel like Conrad is the one ❤,i dont know why but i feel like conrad is the one,confusion,0.904,
700,I can&#39;t believe ppl watch this garbage,i can39t believe ppl watch this garbage,disgust,0.322,
701,"One day after my birthday, can’t wait.",one day after my birthday cant wait,excitement,0.701,
702,I learned more in 10 minutes than hours of Googling,i learned more in 10 minutes than hours of googling,neutral,0.286,
703,Pure talent. No words,pure talent no words,admiration,0.835,
704,"Came for the thumbnail, stayed for the vibes",came for the thumbnail stayed for the vibes,neutral,0.962,
705,Algorithm finally did something right,algorithm finally did something right,approval,0.591,
706,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
707,The editing is top-tier. Seriously impressive,the editing is toptier seriously impressive,admiration,0.938,
708,The way you explained this is SO clear. Thank you,the way you explained this is so clear thank you,gratitude,0.984,
709,"Came for the thumbnail, stayed for the vibes",came for the thumbnail stayed for the vibes,neutral,0.962,
710,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
711,transition from summer to winter w conrad OMFG,transition from summer to winter w conrad omfg,neutral,0.964,
712,This is the dreamiesttt video I have ever seen 😭 waiting for season 3 so bad. 😭😭😭😭,this is the dreamiesttt video i have ever seen  waiting for season 3 so bad,desire,0.204,
713,Lmfao as soon as it gets to conrat opening the door I stop the video lol! The song anf jere scenes go so well together like I can&#39;t stop replaying!!!,lmfao as soon as it gets to conrat opening the door i stop the video lol the song anf jere scenes go so well together like i can39t stop replaying,amusement,0.893,
714,"even tho it was mainly based off of her and Jeremiah, conrads “hey” CHANGED EVERYTHINGG",even tho it was mainly based off of her and jeremiah conrads hey changed everythingg,neutral,0.785,
715,the music transition was smoooooth,the music transition was smoooooth,neutral,0.955,
716,*jumped when conrad appeared with a simple &#39;hey&#39; 😭😭🙌🏻🙌🏻,jumped when conrad appeared with a simple 39hey39,neutral,0.946,
717,Mood instantly lifted. Thank you for this,mood instantly lifted thank you for this,gratitude,0.989,
718,I don&#39;t think I&#39;ll be watching this season 😭😭,i don39t think i39ll be watching this season,disapproval,0.742,
719,Was will Conrad dah😭geh wieder,was will conrad dahgeh wieder,neutral,0.965,
720,I ve had this on repeat all day,i ve had this on repeat all day,neutral,0.843,
721,"Came for the thumbnail, stayed for the vibes",came for the thumbnail stayed for the vibes,neutral,0.962,
722,Ughh no thanks.,ughh no thanks,annoyance,0.276,
723,did you at least kiss the brick before throwing it at me,did you at least kiss the brick before throwing it at me,curiosity,0.415,
724,Me the whole time: 🙄<br>When Conrad shows up: 😃🤩🥳,me the whole time brwhen conrad shows up,neutral,0.961,
725,Omg finally! ❤,omg finally,excitement,0.549,
726,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
727,Ok it’s annoying me what is on her mouth,ok its annoying me what is on her mouth,annoyance,0.783,
728,This gave me chills… in the best way,this gave me chills in the best way,joy,0.582,😊
729,wait do y’all think the whole seasons gonna be out at once or are they gonna do it episode by episode like last time?,wait do yall think the whole seasons gonna be out at once or are they gonna do it episode by episode like last time,confusion,0.479,
730,Your consistency is inspiring—keep going,your consistency is inspiringkeep going,admiration,0.926,
731,The way you explained this is SO clear. Thank you,the way you explained this is so clear thank you,gratitude,0.984,
732,"Came for the thumbnail, stayed for the vibes",came for the thumbnail stayed for the vibes,neutral,0.962,
733,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
734,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
735,This gave me chills… in the best way,this gave me chills in the best way,joy,0.582,😊
736,I didn t expect to love this as much as I do,i didn t expect to love this as much as i do,surprise,0.509,😲
737,Ohhhhhh the song choices 🥹,ohhhhhh the song choices,neutral,0.661,
738,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
739,Let’s gooo !!! Conrad really stole the trailer just with an « hey » !!!!,lets gooo  conrad really stole the trailer just with an  hey,neutral,0.96,
740,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
741,"hahaha estudar verbos é bom, hein galerinha? mas o amor É dourado, amar ele ERA vermelho, jeremiah está com uma música com verbo presente, corand com o verbo passado.",hahaha estudar verbos é bom hein galerinha mas o amor é dourado amar ele era vermelho jeremiah está com uma música com verbo presente corand com o verbo passado,amusement,0.818,
742,Mood instantly lifted. Thank you for this,mood instantly lifted thank you for this,gratitude,0.989,
743,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
744,Daylight to red transition ❤❤❤&gt;&gt;&gt;&gt;&gt;&gt;&gt;,daylight to red transition gtgtgtgtgtgtgt,neutral,0.963,
745,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
746,"Awesome video, looking forward to the next one!",awesome video looking forward to the next one,admiration,0.928,
747,DAYLIGHT TO RED ???!! WHAT A FUCKING GENIUS U ARE JENNY HAN,daylight to red  what a fucking genius u are jenny han,admiration,0.94,
748,DAYLIGHT TO RED ???!! WHAT A FUCKING GENIUS U ARE JENNY HAN,daylight to red  what a fucking genius u are jenny han,admiration,0.94,
749,"Thank you for this video, very enlightening!",thank you for this video very enlightening,gratitude,0.99,
750,"Thank you for this video, very enlightening!",thank you for this video very enlightening,gratitude,0.99,
751,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
752,"This was very informative, appreciate it.",this was very informative appreciate it,admiration,0.92,
753,This deserves way more views. Absolutely underrated,this deserves way more views absolutely underrated,neutral,0.293,
754,"Thanks for sharing this, learned a lot.",thanks for sharing this learned a lot,gratitude,0.989,
755,Thank you for the great content!,thank you for the great content,gratitude,0.987,
756,"Thanks for sharing this, learned a lot.",thanks for sharing this learned a lot,gratitude,0.989,
757,"You explained this so well, thank you!",you explained this so well thank you,gratitude,0.986,
758,"This video was amazing, learned a lot.",this video was amazing learned a lot,admiration,0.92,
759,You just earned a new subscriber,you just earned a new subscriber,excitement,0.32,
760,Crypto whales quietly accumulating $XAI318K🐋🐋😮,crypto whales quietly accumulating xai318k,neutral,0.96,
761,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
762,Belly conrad🥰🥰🥰,belly conrad,neutral,0.968,
763,"Fantastic video, really appreciate your effort!",fantastic video really appreciate your effort,admiration,0.949,
764,"This was exactly what I needed, thanks!",this was exactly what i needed thanks,gratitude,0.981,
765,I learned more in 10 minutes than hours of Googling,i learned more in 10 minutes than hours of googling,neutral,0.286,
766,"Great tips, thanks for sharing!",great tips thanks for sharing,gratitude,0.99,
767,I ve had this on repeat all day,i ve had this on repeat all day,neutral,0.843,
768,Your consistency is inspiring—keep going,your consistency is inspiringkeep going,admiration,0.926,
769,I want Conrad to be happy he deserved so much better than Belly dont put them back together,i want conrad to be happy he deserved so much better than belly dont put them back together,desire,0.798,
770,Algorithm finally did something right,algorithm finally did something right,approval,0.591,
771,"Very well done, appreciate this video!",very well done appreciate this video,admiration,0.942,
772,Amazing content as always!,amazing content as always,admiration,0.874,
773,The way you explained this is SO clear. Thank you,the way you explained this is so clear thank you,gratitude,0.984,
774,"Loved the content, keep it coming!",loved the content keep it coming,love,0.933,❤️
775,"Fantastic video, really appreciate your effort!",fantastic video really appreciate your effort,admiration,0.949,
776,"Fantastic explanation, thank you!",fantastic explanation thank you,gratitude,0.961,
777,I didn t expect to love this as much as I do,i didn t expect to love this as much as i do,surprise,0.509,😲
778,Gosh!!!!!! can&#39;t wait for season 3,gosh can39t wait for season 3,excitement,0.625,
779,"Awesome video, looking forward to the next one!",awesome video looking forward to the next one,admiration,0.928,
780,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
781,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
782,"Blackrock, JPMorgan Chase, United Kingdom - all buying up $XAI318K token and Bitcoin. Dont be a fool and not invest while its early.",blackrock jpmorgan chase united kingdom  all buying up xai318k token and bitcoin dont be a fool and not invest while its early,neutral,0.553,
783,I didn t expect to love this as much as I do,i didn t expect to love this as much as i do,surprise,0.509,😲
784,I didn t expect to love this as much as I do,i didn t expect to love this as much as i do,surprise,0.509,😲
785,Thanks for the advice! Swapped my ETH and XRP into $XAI318K and could not be happier. My portfolio is up like never before,thanks for the advice swapped my eth and xrp into xai318k and could not be happier my portfolio is up like never before,gratitude,0.968,
786,It seems complicated 😕,it seems complicated,confusion,0.846,
787,YT comments made me rich so im repaying the favor. Invest @ least 10K into $XAI318K. Enjoy,yt comments made me rich so im repaying the favor invest  least 10k into xai318k enjoy,joy,0.872,😊
788,I ve had this on repeat all day,i ve had this on repeat all day,neutral,0.843,
789,"For all the Jelly fans, or Belly haters, let me just say one thing. Yes Belly shouldn’t have kissed Jere, left him for Conrad, then went back to Jere. But everyone INCLUDING JERE has always known Belly had a massive crush on Conrad. And there was that point in season 1 where Jere intentionally manipulated the situation so Belly wouldn’t get closer to Conrad. Jere knew and still took the risk of going after Belly. All three of them are guilty of toxic behavior at one point or another. Still love them though 😂",for all the jelly fans or belly haters let me just say one thing yes belly shouldnt have kissed jere left him for conrad then went back to jere but everyone including jere has always known belly had a massive crush on conrad and there was that point in season 1 where jere intentionally manipulated the situation so belly wouldnt get closer to conrad jere knew and still took the risk of going after belly all three of them are guilty of toxic behavior at one point or another still love them though,neutral,0.872,
790,Mood instantly lifted. Thank you for this,mood instantly lifted thank you for this,gratitude,0.989,
791,the video started with belly and ended with conraddddd 😙ahhh i just know there is gonna be so much drama this next season!!!!,the video started with belly and ended with conraddddd ahhh i just know there is gonna be so much drama this next season,excitement,0.258,
792,I learned more in 10 minutes than hours of Googling,i learned more in 10 minutes than hours of googling,neutral,0.286,
793,The hot chocolate on her mouth 👄,the hot chocolate on her mouth,neutral,0.962,
794,Made 25x investing in XRP now its time to make 50X by swapping it to $XAI318K. The world is ready for this technology🌍,made 25x investing in xrp now its time to make 50x by swapping it to xai318k the world is ready for this technology,neutral,0.864,
795,I learned more in 10 minutes than hours of Googling,i learned more in 10 minutes than hours of googling,neutral,0.286,
796,FINALLLYYY 😭😭🤌,finalllyyy,neutral,0.966,
797,Oh my sweet baby Conrad😭,oh my sweet baby conrad,neutral,0.241,
798,"if it wasnt for the $XAI318K presale, my portfolio would be ALL red 😅😅",if it wasnt for the xai318k presale my portfolio would be all red,neutral,0.895,
799,"Came for the thumbnail, stayed for the vibes",came for the thumbnail stayed for the vibes,neutral,0.962,
800,Can we all agree this creator deserves more recognition,can we all agree this creator deserves more recognition,approval,0.393,
801,I ve had this on repeat all day,i ve had this on repeat all day,neutral,0.843,
802,Damnnnn,damnnnn,neutral,0.914,
803,40 seconds of &quot;I don&#39;t wanna look ................ Daylight&quot; <br>= <br>7 seconds of &quot;loving you was red&quot; ♥️,40 seconds of quoti don39t wanna look  daylightquot br br7 seconds of quotloving you was redquot,neutral,0.955,
804,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
805,Jere isn’t that guy 🥲,jere isnt that guy,neutral,0.862,
806,The way you explained this is SO clear. Thank you,the way you explained this is so clear thank you,gratitude,0.984,
807,Forever CONRAD GIRLIES!😁😍,forever conrad girlies,neutral,0.969,
808,"What the hell is he doing back?😅<br>Go back, go back we are jellyfish❤❤❤😂😂",what the hell is he doing backbrgo back go back we are jellyfish,anger,0.682,😡
809,I can t stop smiling watching this,i can t stop smiling watching this,joy,0.85,😊
810,MY BDAY ISSS ON JULYYY16😁💗,my bday isss on julyyy16,excitement,0.433,
811,You just earned a new subscriber,you just earned a new subscriber,excitement,0.32,
812,Pure talent. No words,pure talent no words,admiration,0.835,
813,Algorithm finally did something right,algorithm finally did something right,approval,0.591,
814,The way you explained this is SO clear. Thank you,the way you explained this is so clear thank you,gratitude,0.984,
815,This gave me chills… in the best way,this gave me chills in the best way,joy,0.582,😊
816,Mood instantly lifted. Thank you for this,mood instantly lifted thank you for this,gratitude,0.989,
817,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
818,Can&#39;t waittttttttt,can39t waittttttttt,neutral,0.969,
819,Mood instantly lifted. Thank you for this,mood instantly lifted thank you for this,gratitude,0.989,
820,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
821,this trailer was too happy <br>of course they will show conrad&#39;s sour face for 0.01sec in the end,this trailer was too happy brof course they will show conrad39s sour face for 001sec in the end,joy,0.84,😊
822,Where can I buy $XAI318K token?,where can i buy xai318k token,curiosity,0.426,
823,Not conrad taking over the whole trailer with one &quot;hey&quot; 😭,not conrad taking over the whole trailer with one quotheyquot,neutral,0.932,
824,I didn t expect to love this as much as I do,i didn t expect to love this as much as i do,surprise,0.509,😲
825,I ve had this on repeat all day,i ve had this on repeat all day,neutral,0.843,
826,LOVING HIM WAS RED BUT BELLY PLZ CHOSE JER,loving him was red but belly plz chose jer,love,0.8,❤️
827,that comes out on my birthday!!!,that comes out on my birthday,excitement,0.362,
828,Missed $PEPE? $DOGE? Don&#39;t sleep on $XAI318K this one’s got legs. 🧠+📈,missed pepe doge don39t sleep on xai318k this ones got legs,neutral,0.792,
829,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
830,Who else is here before this blows up,who else is here before this blows up,curiosity,0.343,
831,I didn t expect to love this as much as I do,i didn t expect to love this as much as i do,surprise,0.509,😲
832,screaming at the hey,screaming at the hey,neutral,0.654,
833,This gave me chills… in the best way,this gave me chills in the best way,joy,0.582,😊
834,This gave me chills… in the best way,this gave me chills in the best way,joy,0.582,😊
835,Talking about $XAI318K too much in group chat. They’re starting to buy too 😅,talking about xai318k too much in group chat theyre starting to buy too,neutral,0.956,
836,"evolving from &quot;I used to think love would be burning red&quot; just to &quot;But loving him was red&quot;<br> It was probably the most life-changing experience I&#39;ve ever had as a swiftie.  I&#39;ve always associated those two lyrics, but in a trailer for TSITP???  Mind blown.",evolving from quoti used to think love would be burning redquot just to quotbut loving him was redquotbr it was probably the most lifechanging experience i39ve ever had as a swiftie  i39ve always associated those two lyrics but in a trailer for tsitp  mind blown,love,0.7,❤️
837,The editing is top-tier. Seriously impressive,the editing is toptier seriously impressive,admiration,0.938,
838,I&#39;m sooooo exiting 🎉😊❤,i39m sooooo exiting,neutral,0.956,
839,This is going straight into my favorites playlist,this is going straight into my favorites playlist,love,0.546,❤️
840,AGHHHHH I CANT WAIT!!!!!,aghhhhh i cant wait,excitement,0.532,
841,Pure talent. No words,pure talent no words,admiration,0.835,
842,I&#39;m soooo exciteddd,i39m soooo exciteddd,excitement,0.8,
843,WHO IS THE EDITOR OF THIS? THE SONG CHOISE???? EXCUSE ME DAYLIGHT IS FOR CONDRAD 😭 IM SO EXCITED Y&#39;ALLL,who is the editor of this the song choise excuse me daylight is for condrad  im so excited y39alll,excitement,0.702,
844,I swear if it’s not Jeremiah at the end yall gon see what a real crash out looks like!,i swear if its not jeremiah at the end yall gon see what a real crash out looks like,neutral,0.794,
845,Always have the best soundtrack,always have the best soundtrack,admiration,0.934,
846,One word: Undervalued. Two words: $XAI318K. Three words: Go Invest Now,one word undervalued two words xai318k three words go invest now,neutral,0.871,
847,the way he said &quot;hey&quot; will probably wipe out all those Jelly moments 😂,the way he said quotheyquot will probably wipe out all those jelly moments,neutral,0.967,
848,NO TEAM JELLYFISH I WOULD CRYYY,no team jellyfish i would cryyy,sadness,0.851,😢
849,The way you explained this is SO clear. Thank you,the way you explained this is so clear thank you,gratitude,0.984,
850,pls let belly and jere be end game PLEASE,pls let belly and jere be end game please,neutral,0.958,
851,I ve had this on repeat all day,i ve had this on repeat all day,neutral,0.843,
852,But she seems more happy with jere,but she seems more happy with jere,joy,0.742,😊
853,investing in $XAI318K coin is not late. its still pre-mainstream. go quickly though times running out,investing in xai318k coin is not late its still premainstream go quickly though times running out,neutral,0.878,
854,Yuck. They’ll probably have her end up with Conrad. Definitely better chemistry and more fun to watch with Jeremiah.,yuck theyll probably have her end up with conrad definitely better chemistry and more fun to watch with jeremiah,amusement,0.591,
855,CONRAD AND BELLY ENDGAME FINALLYYY!!!,conrad and belly endgame finallyyy,neutral,0.954,
856,I learned more in 10 minutes than hours of Googling,i learned more in 10 minutes than hours of googling,neutral,0.286,
857,Not financial advice but i&#39;m betting the farm on $XAI318K🐐,not financial advice but i39m betting the farm on xai318k,neutral,0.906,
858,The way you explained this is SO clear. Thank you,the way you explained this is so clear thank you,gratitude,0.984,
859,The editing is top-tier. Seriously impressive,the editing is toptier seriously impressive,admiration,0.938,
860,$XAI318K will age like wine 🍷dont be scared and take the leap of fortune,xai318k will age like wine dont be scared and take the leap of fortune,caring,0.717,
861,“I once believed love would be burning red but its golden” LITERALLY SAYING JEREMIAH IS BETTER THAN CONRAD,i once believed love would be burning red but its golden literally saying jeremiah is better than conrad,neutral,0.489,
862,"I hate Elon but I love money, so ill invest in his new crypto $XAI318K",i hate elon but i love money so ill invest in his new crypto xai318k,love,0.911,❤️
863,WE ALL KNOW DAYLIGHT IS A CONNIE SONG,we all know daylight is a connie song,neutral,0.707,
864,Nooooooo 💔💔💔💔💔💔💔(team conrad),nooooooo team conrad,neutral,0.929,
865,CONRAD IS AN EMOTIONALLY UNINTELLIGENT MAN CHILD,conrad is an emotionally unintelligent man child,neutral,0.76,
866,TEAM CONRAD BAAAABYYY 🎉,team conrad baaaabyyy,neutral,0.924,
867,TEAM JEREMIAH,team jeremiah,neutral,0.956,
868,This video randomly popped up and I m glad it did,this video randomly popped up and i m glad it did,joy,0.851,😊
869,"Reminder that Daylight is about a happy relationship and loving life more because of someone, meanwhile Red is about Jake Gylenhal. Cmon bruh",reminder that daylight is about a happy relationship and loving life more because of someone meanwhile red is about jake gylenhal cmon bruh,joy,0.437,😊
870,"THE TRANSITION!!! THE HEY AND , RED IN BACKGROUND!!! AHHHHHHHHH!!!!!!”",the transition the hey and  red in background ahhhhhhhhh,neutral,0.85,
871,"Made 5 figures in Bitcoin, Made 5 figures in XRP, Will make 7 figures with $XAI318K",made 5 figures in bitcoin made 5 figures in xrp will make 7 figures with xai318k,neutral,0.963,
872,YESSS ITS COMINGGG,yesss its cominggg,neutral,0.922,
873,The way you explained this is SO clear. Thank you,the way you explained this is so clear thank you,gratitude,0.984,
874,🫶🏻🫶🏻🫶🏻,,empty,0.0,
875,Bought $XAI33 because my gut said yes. Never doubted it.,bought xai33 because my gut said yes never doubted it,approval,0.325,
876,i was so happy until conrad came..,i was so happy until conrad came,joy,0.891,😊
877,Mood instantly lifted. Thank you for this,mood instantly lifted thank you for this,gratitude,0.989,
878,Team Jellyfish 4 life!!,team jellyfish 4 life,neutral,0.967,
879,AH HECK NAH CONRAD GET OUT OF HERE BRO,ah heck nah conrad get out of here bro,neutral,0.615,
880,"Came for the thumbnail, stayed for the vibes",came for the thumbnail stayed for the vibes,neutral,0.962,
881,The transition from daylight to red was all i need😭💟,the transition from daylight to red was all i need,neutral,0.647,
882,This gave me chills… in the best way,this gave me chills in the best way,joy,0.582,😊
